"置顶 ✨PP’s daily vlog #001✨

在🇹🇭拍照的间隙记录的一段小Vlog
全程黑眼圈👀➕蜜汁角度

后半段顶着上火痘给大家录了个日常护肤视频
希望你们看完还爱我啊哈哈哈哈...展开全文c",4月2日 20:19 来自 iPhone X,https://weibo.com/1959192207/HnNFmmgtH?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"分享我虾拍滴
PS：今晚有vlog😉",4月2日 13:23 来自 iPhone X,https://weibo.com/1959192207/HnKWGALlH?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"过节阿姨和我婆婆都回老家了…
在家当了两天真实的妈妈…
第一次给妹妹洗澡…还有拉屎洗pp…（无敌臭）
现在终于哄睡…杨杨在公司等我试新款…开溜一下…（那些全职麻麻也是不容易的）",4月6日 17:22 来自 iPhone客户端,https://weibo.com/5979874133/HoodsghnR?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"闪现肥家💓
抓我家狗子陪我录视频结果我妈乱入了 2海口 L陈芃蕊的微博视频",3月30日 11:38 来自 iPhone X,https://weibo.com/1959192207/HnhYwxpOa?from=page_1005051959192207_profile&wvr=6&mod=weibotime
带她们两个家伙出来洗个脚…明天直播加油呀！,3月26日 23:29 来自 iPhone X,https://weibo.com/5979874133/HmKV1hzQu?from=page_1005051959192207_profile&wvr=6&mod=weibotime
超特别的咸菜绿😉 这套搭配我🔒啦,3月26日 12:01 来自 iPhone X,https://weibo.com/1959192207/HmGpGuoQZ?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"🥂3.29  点赞选5位🥂
推荐这件时髦又有女人的上衣 可以总结为 性价比 实穿性 时髦度 超高的一款 因为领子可以一字领或拉上去都ok  拉上去会是复古方领 比较日常气质些…  衣身的弹力很大 穿着是轻松无压力~ 而且打揽的细节工艺 视觉上会更修身显瘦哦 由于时间问题 没有太多种搭配 其实配半身裙也很 ...展开全文c",3月25日 15:32 来自 iPhone X,https://weibo.com/1807419844/HmymLt3CK?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"早上好鸭🐥～
今天是又酷又可爱滴背带裤女孩👩🏻‍🌾",3月22日 10:35 来自 iPhone X,https://weibo.com/1959192207/Hm492fHSD?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"刚刚带她们去吃海鲜了🦞
更新一组橘色西装的图 太喜欢这色了 是我见过最好看的橘色了没有之一！这组两个搭配一个休闲一个气质…还有好几个搭配图片还没整…",3月20日 22:32 来自 iPhone客户端,https://weibo.com/5979874133/HlPYTg6aw?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"✨#涂抹式面膜#分享✨

好久没有更新哈哈哈 开始营业啦💈

我简直是涂抹式面膜的头号粉丝💪🏻个人感觉涂抹式面膜会比片状面膜性价比高并且效果显著一些！

本人肤质夏天混油冬天混干 之前爆发过闭口 饮食不规律容易长痘 对含有高浓度酒精的护肤品过敏🤧...展开全文c",3月14日 11:43 来自 iPhone X,https://weibo.com/1959192207/HkRaz3s68?from=page_1005051959192207_profile&wvr=6&mod=weibotime
甘拜下风……,3月4日 21:24 来自 iPhone客户端,https://weibo.com/2112496475/HjoHl4dfI?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"昨天上机前的几张生活照
最近变成了衬衫控 喜欢喜欢",2月22日 20:02 来自 iPhone X,https://weibo.com/1959192207/HhRTatWtI?from=page_1005051959192207_profile&wvr=6&mod=weibotime
开奖啦～@Aaaapanpan @nana琪琪晴晴happy 两位私信我一下感谢大家的支持 ¡查看图片,2月22日 19:09 来自 iPhone X,https://weibo.com/1959192207/HhRxBBpG0?from=page_1005051959192207_profile&wvr=6&mod=weibotime
春夏新色系等我啊啊啊,2月22日 11:46 来自 iPhone X,https://weibo.com/5979874133/HhODZqyCJ?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"今日份收工～分享开工前的蓝天💙
前几天一直处于倒着时差精神出走的状态 这两天终于适应了些
接下来几天继续打鸡血啦💪🏻 2美国·洛杉矶",2月18日 10:19 来自 iPhone X,https://weibo.com/1959192207/HhcmncyBD?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"异地恋：“因为是你，苦一点也没关系。” #超7成大学生接受异地恋#
  °异地恋：“因为是你，苦一点也没关系。”",2月13日 15:52 来自 微博 weibo.com,https://weibo.com/1742566624/HgtplcL0D?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"翻出一小波库存
喜欢所有自带阳光沙滩和海浪的地方💛",2月9日 22:44 来自 iPhone X,https://weibo.com/1959192207/HfUolxucm?from=page_1005051959192207_profile&wvr=6&mod=weibotime
五年,2月6日 22:13 来自 iPhone X,https://weibo.com/1853185254/HfrUnooKB?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"【01|新年妆】
各位除夕快乐🧨
被催了好久的化妆教程终于出了 录视频小白剪辑不咋滴大家见谅 之后慢慢提升哈～
化了个应景的新年妆 正好大年初一出门拜年可以上手试试看 希望大家2019一整年旺旺旺🥰
Fu力见评论🥳🥳给大家提前拜个早年～ L陈芃蕊的微博视频",2月4日 13:23 来自 iPhone X,https://weibo.com/1959192207/Hf5A6gCoZ?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"可喜可贺 终于剪完了🥳
第一次录没经验 反反复复录了三次…导致前后指甲颜色有些不一样大家不要太注意这些细节哈哈哈
明天见",2月3日 16:00 来自 iPhone X,https://weibo.com/1959192207/HeXbF9cGQ?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"回家过年啦～[小猪乔治]
晒成了泰妹本泰但我相信你们不会嫌弃我的hahaha！
提前祝大家新年快乐💙 2泰国·苏梅岛",2月2日 19:33 来自 iPhone X,https://weibo.com/1959192207/HeP9mwMsq?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"日常九图出炉🐙
感谢我的朋友不厌其烦滴帮我拍照哈哈哈",1月27日 21:52 来自 iPhone X,https://weibo.com/1959192207/HdVuWDlfK?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"感激2018遇到的你们
2019继续加油～🥳",1月20日 22:51 来自 iPhone X 已编辑,https://weibo.com/1959192207/HcRTcxHN6?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"经过昨晚我悟出了一个道理
以后出门……一定洗头",1月12日 17:26 来自 iPhone X,https://weibo.com/1959192207/HbClu7dfF?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"卡夫卡说过这样一段话：

努力想得到什么东西，其实只要沉着镇静、实事求是，就可以轻易地、神不知鬼不觉地达到目的。而如果过于使劲，闹得太凶，太幼稚，太没有经验，就哭啊，抓啊，拉啊，像一个小孩扯桌布，结果却是一无所获，只不过把桌上的好东西都扯到地上，永远也得不到了。

今天想送给大家十句 ...展开全文c",2018-5-29 08:03 来自 微博 weibo.com,https://weibo.com/1742566624/GiQFSaoLP?from=page_1005051959192207_profile&wvr=6&mod=weibotime
最后没绷住是因为朋友全程冷漠脸看无声的我在摆表情 大家关掉声音感受一下🙂 O微博视频,2018-12-25 22:28 来自 微博视频,https://weibo.com/1959192207/H8UD1dTio?from=page_1005051959192207_profile&wvr=6&mod=weibotime
圣诞老人是假的，他只是一个演员，扮演那些最爱你的人，是父母，是恋人，是朋友，是同事，他们就是想找个理由送你最想要的东西。没有人在乎他是哪来的，只有被人在乎的感觉是真的。,2018-12-24 19:25 已编辑,https://weibo.com/1098618600/H8K0gAg9I?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"冬至快乐🍡
拉个仇恨 我今天…竟然穿上了短袖",2018-12-22 21:22 来自 iPhone X 已编辑,https://weibo.com/1959192207/H8rUMFmpJ?from=page_1005051959192207_profile&wvr=6&mod=weibotime
"今天有点帅💙
生活的城市都好暖好暖好暖🦕",2018-12-16 21:18 来自 iPhone X 已编辑,https://weibo.com/1959192207/H7xkqaAvR?from=page_1005051959192207_profile&wvr=6&mod=weibotime
Ke l e c t r i c | f e e l,2018-12-12 23:17 来自 iPhone X,https://weibo.com/1959192207/H6WoCelmf?from=page_1005051959192207_profile&wvr=6&mod=weibotime
来收获今日份滴快洛…… L回忆专用小马甲的秒拍视频,2018-12-11 15:33,https://weibo.com/3217179555/H6JVQvFDT?from=page_1005051959192207_profile&wvr=6&mod=weibotime
